pattern,analytical_depth,attribution_quality,citation_quality,coverage,factual_accuracy,information_recall,instruction_following,logical_coherence,organization
base_p0,0.455,0.303,0.55,0.473,0.464,0.369,0.583,0.652,0.878
base_p1,0.665,0.426,0.781,0.697,0.613,0.598,0.736,0.747,0.962
base_p10,0.215,0.133,0.294,0.34,0.315,0.313,0.465,0.485,0.808
base_p11,0.329,0.039,0.402,0.334,0.315,0.146,0.368,0.464,0.904
base_p2,0.656,0.219,0.517,0.653,0.537,0.495,0.611,0.731,0.976
base_p3,0.662,0.189,0.388,0.639,0.497,0.517,0.662,0.75,0.933
base_p4,0.829,0.215,0.493,0.739,0.549,0.545,0.724,0.754,0.994
base_p5,0.696,0.208,0.476,0.672,0.527,0.564,0.676,0.697,0.971
base_p6,0.623,0.297,0.719,0.635,0.562,0.58,0.717,0.756,0.976
base_p7,0.707,0.293,0.788,0.656,0.609,0.454,0.597,0.701,0.94
base_p8,0.797,0.228,0.59,0.7,0.586,0.457,0.637,0.732,0.973
base_p9,0.189,0.152,0.253,0.259,0.237,0.21,0.344,0.4,0.524
