a,b,claude_opus,claude_sonnet,gpt52,sig_all3,sig_count,sign_consensus,judge_robust
base_p0,base_p1,True,True,True,True,3,True,True
base_p0,base_p10,True,True,True,True,3,True,True
base_p0,base_p2,True,True,False,False,2,True,False
base_p0,base_p3,True,True,False,False,2,True,False
base_p0,base_p4,True,True,True,True,3,True,True
base_p0,base_p5,True,True,False,False,2,True,False
base_p0,base_p6,True,True,True,True,3,True,True
base_p0,base_p7,True,True,False,False,2,True,False
base_p0,base_p8,True,True,False,False,2,True,False
base_p0,base_p9,True,True,True,True,3,True,True
base_p1,base_p10,True,True,True,True,3,True,True
base_p1,base_p2,True,True,True,True,3,True,True
base_p1,base_p3,True,True,True,True,3,True,True
base_p1,base_p4,True,False,False,False,1,False,False
base_p1,base_p5,True,False,False,False,1,True,False
base_p1,base_p6,True,False,False,False,1,False,False
base_p1,base_p7,True,False,False,False,1,True,False
base_p1,base_p8,True,False,False,False,1,True,False
base_p1,base_p9,True,True,True,True,3,True,True
base_p10,base_p2,True,True,True,True,3,True,True
base_p10,base_p3,True,True,True,True,3,True,True
base_p10,base_p4,True,True,True,True,3,True,True
base_p10,base_p5,True,True,True,True,3,True,True
base_p10,base_p6,True,True,True,True,3,True,True
base_p10,base_p7,True,True,True,True,3,True,True
base_p10,base_p8,True,True,True,True,3,True,True
base_p10,base_p9,True,True,False,False,2,True,False
base_p2,base_p3,True,False,False,False,1,False,False
base_p2,base_p4,False,True,True,False,2,False,False
base_p2,base_p5,False,True,False,False,1,False,False
base_p2,base_p6,False,True,True,False,2,False,False
base_p2,base_p7,False,True,True,False,2,True,False
base_p2,base_p8,False,True,False,False,1,True,False
base_p2,base_p9,True,True,True,True,3,True,True
base_p3,base_p4,True,True,True,True,3,True,True
base_p3,base_p5,False,True,False,False,1,True,False
base_p3,base_p6,True,True,True,True,3,True,True
base_p3,base_p7,True,True,True,True,3,True,True
base_p3,base_p8,True,True,False,False,2,True,False
base_p3,base_p9,True,True,True,True,3,True,True
base_p4,base_p5,False,False,False,False,0,True,False
base_p4,base_p6,False,False,False,False,0,True,False
base_p4,base_p7,False,True,False,False,1,False,False
base_p4,base_p8,False,True,True,False,2,False,False
base_p4,base_p9,True,True,True,True,3,True,True
base_p5,base_p6,False,False,False,False,0,True,False
base_p5,base_p7,False,False,False,False,0,True,False
base_p5,base_p8,True,False,False,False,1,True,False
base_p5,base_p9,True,True,True,True,3,True,True
base_p6,base_p7,False,True,False,False,1,False,False
base_p6,base_p8,False,False,False,False,0,False,False
base_p6,base_p9,True,True,True,True,3,True,True
base_p7,base_p8,False,False,False,False,0,False,False
base_p7,base_p9,True,True,True,True,3,True,True
base_p8,base_p9,True,True,True,True,3,True,True
