rank,pattern,n_queries,mean_3judge,mean_gpt52,mean_opus,mean_sonnet_corrected,ppi_debiased_mean,ppi_ci95_low,ppi_ci95_high
1,base_p1,90,0.6734,0.4665,0.7629,0.7932,0.6761,0.6417,0.7103
2,base_p4,90,0.6397,0.4666,0.6404,0.8122,0.6397,0.6155,0.6632
3,base_p6,87,0.634,0.4612,0.6393,0.8016,0.634,0.6013,0.6675
4,base_p7,90,0.6301,0.4466,0.6708,0.7729,0.6301,0.6023,0.6556
5,base_p8,90,0.625,0.4322,0.6743,0.7684,0.625,0.5973,0.651
6,base_p5,89,0.6007,0.4283,0.6008,0.7728,0.6007,0.5684,0.6328
7,base_p2,90,0.5853,0.3976,0.6535,0.7047,0.5853,0.5524,0.6178
8,base_p3,89,0.5697,0.406,0.5917,0.7133,0.5676,0.536,0.598
9,base_p0,90,0.4884,0.3845,0.4747,0.6059,0.4884,0.4463,0.5308
10,base_p11,89,0.4002,0.3308,,0.4775,0.3905,0.3579,0.4235
11,base_p10,90,0.3358,0.2131,0.3184,0.4757,0.3358,0.3045,0.3667
12,base_p9,90,0.2577,0.18,0.2431,0.35,0.2577,0.2174,0.2943
13,base_p12,90,0.241,0.1821,,0.3428,0.2162,0.1796,0.2549
